LOO,Accuracy,Precision,Kappa,Specificity,AUC
LOO1,0.9018398268398269,0.9162931995540692,0.8036796536796537,0.8370129870129871,0.9391709300800208
LOO2,0.6546342383107089,0.6951815971552813,0.3092684766214179,0.7043740573152337,0.7097965373126859
LOO3,0.74079643630505,0.7577523311351051,0.48159287261009986,0.8477682194089085,0.8192441732827997
LOO4,0.8239285714285713,0.8886664261664261,0.6238235294117647,0.8166666666666667,0.8024583333333334
LOO5,0.8923809523809524,0.8960064935064935,0.7677459526774596,0.8305555555555555,0.9131944444444444
LOO6,0.8855411255411255,0.9032034632034632,0.7695251412065571,0.9111111111111111,0.9391203703703702
LOO7,0.8183753501400559,0.8357452351569998,0.631845394220106,0.7816666666666666,0.9096573426573427
LOO8,0.75,0.7931892230576442,0.5,0.7777777777777777,0.8635802469135803
LOO9,0.9777777777777779,0.97875,0.9555555555555555,0.9888888888888889,0.9956790123456789
LOO10,0.6823750000000001,0.7354359947828165,0.373670296570899,0.7255555555555555,0.7333889777277277
LOO11,0.7500000000000001,0.7908184636191298,0.5,0.7555555555555555,0.7814814814814814
LOO12,0.7833333333333334,0.805782237086585,0.5666666666666667,0.7222222222222222,0.7962962962962962
