data_avg,data_max,data_min,data_std,epoch,lr-AdamW,step,train_acc,train_loss,valid_acc,valid_accuracy,valid_balanced_accuracy,valid_cohen_kappa,valid_f1,valid_loss,valid_precision,valid_recall,valid_roc_auc
-0.16932564973831177,0.3890301287174225,-0.5506603717803955,0.321124792098999,12,,1065,0.5444444417953491,0.6884118914604187,,,,,,,,,
,,,,,0.0002953792489423211,1066,,,,,,,,,,,
,,,,13,,1147,,,0.668055534362793,0.668055534362793,0.668055534362793,0.3361110985279083,0.694763720035553,0.6502081751823425,0.6430259943008423,0.7555555701255798,0.7258719205856323
-0.1544872224330902,0.40141695737838745,-0.5406886339187622,0.31314149498939514,13,,1147,0.584482729434967,0.6725040674209595,,,,,,,,,
,,,,,0.00032106308124583576,1148,,,,,,,,,,,
,,,,14,,1229,,,0.6930555701255798,0.6930555701255798,0.6930555701255798,0.3861111104488373,0.715572714805603,0.6120365858078003,0.6666666865348816,0.7722222208976746,0.7541821002960205
-0.13189594447612762,0.42161494493484497,-0.5155110955238342,0.3021022379398346,14,,1229,0.6469348669052124,0.6329737305641174,,,,,,,,,
,,,,,0.0003439595340374404,1230,,,,,,,,,,,
,,,,15,,1311,,,0.6847222447395325,0.6847222447395325,0.6847222447395325,0.36944442987442017,0.7235079407691956,0.5976913571357727,0.6442516446113586,0.824999988079071,0.761080265045166
-0.11497512459754944,0.43663400411605835,-0.4836730659008026,0.29081040620803833,15,,1311,0.6800765991210938,0.5914521813392639,,,,,,,,,
,,,,,0.0003635041339036788,1312,,,,,,,,,,,
,,,,16,,1393,,,0.6888889074325562,0.6888889074325562,0.6888889074325562,0.3777777850627899,0.7090908885002136,0.5918160080909729,0.6658536791801453,0.7583333253860474,0.7530632615089417
-0.10299142450094223,0.44719135761260986,-0.45689132809638977,0.28259867429733276,16,,1393,0.7019156813621521,0.5689687132835388,,,,,,,,,
,,,,,0.0003792150417098365,1394,,,,,,,,,,,
,,,,17,,1475,,,0.6833333373069763,0.6833333373069763,0.6833333373069763,0.36666667461395264,0.6797752976417542,0.5843213796615601,0.6875,0.6722221970558167,0.7592592835426331
-0.09366721659898758,0.4500359296798706,-0.42207780480384827,0.27404943108558655,17,,1475,0.7214559316635132,0.5428516864776611,,,,,,,,,
,,,,,0.00039070493153086494,1476,,,,,,,,,,,
,,,,18,,1557,,,0.6930555701255798,0.6944444179534912,0.6944444179534912,0.3888888955116272,0.7172236442565918,0.5777196288108826,0.6674641370773315,0.7749999761581421,0.7726234793663025
-0.08589531481266022,0.45384150743484497,-0.377574622631073,0.26584556698799133,18,,1557,0.7360153198242188,0.5213068127632141,,,,,,,,,
,,,,,0.0003976905395185801,1558,,,,,,,,,,,
,,,,19,,1639,,,0.7041666507720947,0.7041666507720947,0.7041666507720947,0.40833333134651184,0.7279693484306335,0.5715379118919373,0.673758864402771,0.7916666865348816,0.7810262441635132
-0.07942062616348267,0.45604196190834045,-0.34208330512046814,0.2588104009628296,19,,1639,0.7509578466415405,0.5045779347419739,,,,,,,,,
,,,,,0.0003999999770654449,1640,,,,,,,,,,,
,,,,20,,1721,,,0.6777777671813965,0.6777777671813965,0.6777777671813965,0.35555556416511536,0.7456140518188477,0.6406919360160828,0.6159420013427734,0.9444444179534912,0.7908101677894592
