LOO,Accuracy,Precision,Specificity,AUROC,Kappa
LOO1,0.7752164502164502,0.8777777777777779,0.8989177425223712,0.8610957675081051,0.5504329004329005
LOO2,0.5629306184012066,0.5672714882017208,0.6933574633668287,0.5811536638957706,0.1258612368024133
LOO3,0.665754716981132,0.8333333333333333,0.8584905643613385,0.7345066571733714,0.3315094339622642
LOO4,0.7077777777777777,0.6713286713286714,0.7155555472271606,0.7558125,0.3876485788113695
LOO5,0.7427380952380953,0.7591291061879297,0.5822222158753088,0.7551296296296297,0.43467306325515287
LOO6,0.6665800865800866,0.7676190476190475,0.5177777719024692,0.691860754985755,0.300169120180118
LOO7,0.4568627450980392,0.48692982456140343,0.31166666291342604,0.49100582750582744,-0.09768790200189677
LOO8,0.6833333333333333,0.7873333333333333,0.7777777734567902,0.7546296296296295,0.3666666666666666
LOO9,0.7555555555555555,0.8708333333333332,0.9666666612962962,0.9185185185185185,0.5111111111111112
LOO10,0.5125,0.5341055341055341,0.3493055532020801,0.5103834936498999,0.04267280071813286
LOO11,0.6555555555555556,0.6862388591800357,0.6444444408641975,0.6660493827160494,0.31111111111111106
LOO12,0.6555555555555556,0.6231032125768968,0.4666666640740741,0.6956790123456791,0.31111111111111106
