LOO,Accuracy,Precision,Kappa,Specificity,AUC
LOO1,0.8574675324675324,0.8793170163170163,0.714935064935065,0.9251082251082252,0.9109232398193436
LOO2,0.6856478129713424,0.6994862079563454,0.37129562594268484,0.7863001508295626,0.7385559928020402
LOO3,0.6948027699561743,0.6990671232390401,0.3896055399123488,0.7018521162672104,0.7297643031209728
LOO4,0.8184920634920635,0.8559800570946081,0.6300716845878136,0.7155555555555555,0.9047283950617284
LOO5,0.8398809523809524,0.8515628815628815,0.6659736680955298,0.7533333333333333,0.9079722222222223
LOO6,0.8664502164502164,0.8996753246753247,0.7328770677330757,0.9111111111111111,0.8854522792022792
LOO7,0.7022689075630252,0.7459100458365164,0.39372868563363755,0.5488888888888889,0.7176083916083915
LOO8,0.7277777777777777,0.7638452380952381,0.45555555555555555,0.6777777777777778,0.7833333333333334
LOO9,0.8555555555555555,0.8906991460551833,0.711111111111111,0.7333333333333332,0.9728395061728395
LOO10,0.6441250000000001,0.6716503191856452,0.27439828693790147,0.5039166666666667,0.6784770148273274
LOO11,0.7166666666666667,0.7745947156291985,0.4333333333333333,0.6,0.7876543209876543
LOO12,0.7611111111111111,0.8223444735519039,0.5222222222222224,0.5888888888888889,0.80679012345679
