LOO,Accuracy,Precision,Kappa,Specificity,AUC
LOO1,0.8409090909090908,0.8676896283792835,0.6818181818181819,0.7974025974025974,0.8838173010250934
LOO2,0.8057797888386122,0.827570207282848,0.6115595776772247,0.850898944193062,0.8770539207723929
LOO3,0.7297541774752603,0.7360276292335116,0.45950835495052067,0.7477573258245941,0.780918615651519
LOO4,0.721984126984127,0.7885852573352573,0.41993464052287577,0.58,0.7770015432098766
LOO5,0.8769047619047619,0.8792424242424243,0.7438895417156287,0.8527777777777779,0.9282407407407407
LOO6,0.7987445887445886,0.8371338383838385,0.6091278137271169,0.888888888888889,0.8511525511525513
LOO7,0.7417927170868348,0.8222829131652661,0.4995855303494789,0.8955555555555555,0.7835104895104894
LOO8,0.7666666666666667,0.8097688060731538,0.5333333333333333,0.7222222222222222,0.9092592592592592
LOO9,0.9222222222222222,0.9442307692307693,0.8444444444444444,0.8444444444444444,0.9993827160493828
LOO10,0.66625,0.7309109361946533,0.325640243902439,0.8013888888888889,0.7235137428053052
LOO11,0.7833333333333334,0.7359001335781521,0.5666666666666667,0.9,0.6901234567901234
LOO12,0.7444444444444445,0.7924905439388198,0.48888888888888893,0.7666666666666666,0.8320987654320987
