LOO,Accuracy,Precision,Kappa,Specificity,AUC
LOO1,0.8836580086580087,0.9042087912087913,0.7673160173160174,0.804112554112554,0.9322136016941212
LOO2,0.7072918552036199,0.7230772656081005,0.4145837104072398,0.7628838612368024,0.7449591674572138
LOO3,0.7153663614393722,0.7248333786842591,0.4307327228787442,0.7985570952412625,0.7965986585618614
LOO4,0.8403174603174604,0.8883886483886483,0.6566013071895425,0.7944444444444444,0.8260416666666666
LOO5,0.910357142857143,0.9157460317460316,0.8150000000000001,0.9111111111111111,0.9474537037037039
LOO6,0.826926406926407,0.8793695193695195,0.6557475695293254,0.8222222222222222,0.9117165242165243
LOO7,0.7462745098039216,0.8089673920850393,0.5020936744304441,0.7211111111111111,0.8283442113442113
LOO8,0.8333333333333334,0.8538393495049842,0.6666666666666666,0.8666666666666666,0.9333333333333332
LOO9,0.9833333333333334,0.9836257309941521,0.9666666666666668,0.9777777777777779,0.9987654320987656
LOO10,0.66325,0.7034323671497585,0.3227462462462462,0.6588611111111111,0.6577650275275275
LOO11,0.788888888888889,0.8005248917748918,0.5777777777777778,0.7888888888888889,0.8475308641975309
LOO12,0.85,0.8641868686868687,0.7,0.8555555555555555,0.921604938271605
