LOO,Accuracy,Precision,Kappa,Specificity,AUC
LOO1,0.8822510822510822,0.8913369963369963,0.7645021645021645,0.9023809523809524,0.9586078784130733
LOO2,0.65363197586727,0.714012101092311,0.30726395173454,0.6477375565610859,0.7629970528517707
LOO3,0.7455085544937884,0.7606489982565835,0.49101710898757656,0.8560768611104953,0.8246463674407633
LOO4,0.8564285714285713,0.8937169312169312,0.6888235294117647,0.7966666666666666,0.9131666666666668
LOO5,0.8808333333333334,0.9067836257309942,0.7408974358974358,0.7694444444444445,0.8663194444444444
LOO6,0.8574025974025974,0.8839350649350649,0.7166555183946489,0.9083333333333332,0.9127492877492877
LOO7,0.7766106442577031,0.814268058738647,0.5502082044939188,0.7466666666666666,0.8360940170940172
LOO8,0.8722222222222221,0.8936570523298212,0.7444444444444445,0.9555555555555555,0.8969135802469136
LOO9,0.9722222222222223,0.9736257309941522,0.9444444444444443,0.9888888888888889,0.9969135802469136
LOO10,0.673125,0.6880662902500763,0.3495269304099142,0.6745555555555555,0.6984743637387387
LOO11,0.7444444444444445,0.7665665584415586,0.48888888888888893,0.6,0.7290123456790124
LOO12,0.788888888888889,0.8359523809523811,0.5777777777777778,0.6555555555555554,0.8506172839506172
