LOO,Accuracy,Precision,Kappa,Specificity,AUC
LOO1,0.8603896103896105,0.8646707459207459,0.7207792207792207,0.8841991341991342,0.913368377654092
LOO2,0.7132496229260934,0.7563060204614547,0.42649924585218707,0.7135203619909503,0.7946198919851036
LOO3,0.7108818482140877,0.7510735203972034,0.42176369642817557,0.8534038681831955,0.7751430510283015
LOO4,0.8225,0.876128082443872,0.6439690721649485,0.875,0.7871666666666667
LOO5,0.806904761904762,0.8404506604506604,0.6099328107502799,0.735,0.8395231481481481
LOO6,0.8273593073593073,0.8711511216056671,0.6676331893723197,0.9111111111111111,0.864298433048433
LOO7,0.6692156862745098,0.7970007810816634,0.3589566850644396,0.8638888888888889,0.7294296814296815
LOO8,0.7499999999999999,0.7882194454720691,0.5,0.8,0.8388888888888889
LOO9,0.9388888888888889,0.9492105263157896,0.8777777777777779,0.888888888888889,0.9969135802469136
LOO10,0.6287499999999999,0.6119063589337762,0.24511792452830186,0.8256666666666665,0.6967890215215216
LOO11,0.7888888888888889,0.8115613734091994,0.5777777777777777,0.8666666666666666,0.8734567901234568
LOO12,0.6333333333333334,0.6244541265186426,0.26666666666666666,0.6888888888888889,0.6265432098765432
