LOO,Accuracy,Precision,Specificity,AUROC,Kappa
LOO1,0.6840909090909091,0.6836363636363637,0.9285714220176253,0.840283165607841,0.36818181818181817
LOO2,0.6199374057315234,0.6328614948003493,0.6228325768372948,0.7316947718674427,0.23987481146304673
LOO3,0.5015094339622641,0.4981527093596059,0.7247169797114774,0.5651814168743324,0.0030188679245283234
LOO4,0.4584126984126984,0.5373333333333333,0.6138888818387347,0.49060802469135795,-0.11026819923371652
LOO5,0.7398809523809524,0.6953600785179732,0.4911111058265433,0.8385092592592592,0.44281901732060797
LOO6,0.5897402597402597,0.6900793650793651,0.46944443916589523,0.5047024734524734,0.1414175646493505
LOO7,0.5914565826330532,0.6005250305250305,0.3483333292643519,0.566946386946387,0.1537461595888248
LOO8,0.7777777777777778,0.825,0.7222222182098765,0.8111111111111111,0.5555555555555556
LOO9,0.7999999999999999,0.8466165413533835,0.8444444397530864,0.9074074074074074,0.6
LOO10,0.48925,0.506911928651059,0.2971481471128263,0.5196423019894895,-0.001336907953529942
LOO11,0.4722222222222222,0.5478929040598869,0.44444444197530864,0.41543209876543213,-0.05555555555555556
LOO12,0.7444444444444446,0.7344973544973545,0.666666662962963,0.8450617283950617,0.48888888888888893
