LOO,Accuracy,Precision,Specificity,AUROC,Kappa
LOO1,0.6683982683982683,0.8825396825396826,0.945238088545403,0.830529787672645,0.3367965367965368
LOO2,0.6152963800904978,0.6208241758241758,0.6472488663558085,0.7076403403447469,0.23059276018099545
LOO3,0.4915094339622641,0.5180652680652681,0.7058490552187754,0.5539013883944464,-0.01698113207547164
LOO4,0.5667063492063492,0.5900000000000001,0.6966666587324075,0.6776327160493827,0.11354406130268195
LOO5,0.7452380952380953,0.7210256410256409,0.5566666606509261,0.7691250000000001,0.46024144869215283
LOO6,0.5988311688311688,0.7073593073593074,0.5761111046918211,0.607431364931365,0.18450783400838894
LOO7,0.6002801120448179,0.6345765345765345,0.433333328101852,0.6284219114219114,0.19237312098308784
LOO8,0.7333333333333333,0.7979358805445762,0.7111111071604939,0.812962962962963,0.4666666666666667
LOO9,0.7388888888888889,0.7390476190476191,0.7555555513580247,0.8962962962962964,0.47777777777777775
LOO10,0.465625,0.49689655172413794,0.33984259046763043,0.5284857401151151,-0.04243986254295533
LOO11,0.6166666666666668,0.6325179211469534,0.5222222193209877,0.5941358024691358,0.2333333333333333
LOO12,0.6944444444444444,0.5544615384615385,0.5999999966666667,0.7478395061728396,0.3888888888888889
