LOO,Accuracy,Precision,Kappa,Specificity,AUC
LOO1,0.8137445887445887,0.8297482403217697,0.6274891774891774,0.8320346320346321,0.8427355653005003
LOO2,0.6841244343891402,0.7253557502835116,0.3682488687782805,0.7203499245852187,0.7684120680143505
LOO3,0.7252766334833604,0.7361362135471012,0.4505532669667206,0.7394289219490204,0.7926276340628372
LOO4,0.8038492063492064,0.8445165945165944,0.5914646464646465,0.7255555555555555,0.8486219135802469
LOO5,0.8803571428571428,0.9009035409035409,0.7438974854932303,0.7716666666666667,0.9403472222222223
LOO6,0.8846320346320347,0.9040917415917417,0.7708852694395836,0.9305555555555556,0.916880341880342
LOO7,0.7870868347338936,0.8312985421441305,0.5692507817790302,0.7394444444444443,0.888956487956488
LOO8,0.8333333333333333,0.8619200336700337,0.6666666666666666,0.8333333333333334,0.9222222222222222
LOO9,0.9166666666666666,0.9389676113360323,0.8333333333333334,1.0,0.9623456790123457
LOO10,0.7064999999999999,0.7320224754237008,0.4198139097744361,0.8507407407407408,0.7807465653153154
LOO11,0.7611111111111111,0.7116443068455454,0.5222222222222221,0.8666666666666666,0.6771604938271605
LOO12,0.7888888888888889,0.8182609159816376,0.5777777777777778,0.6777777777777777,0.7950617283950617
