LOO,Accuracy,Precision,Kappa,Specificity,AUC
LOO1,0.7885281385281385,0.825019409937888,0.577056277056277,0.8255411255411257,0.8544447255486217
LOO2,0.7694343891402715,0.8303821111138184,0.538868778280543,0.7670437405731523,0.8742164867176712
LOO3,0.7438768226799399,0.7674546088112331,0.48775364535988003,0.7873584314421065,0.8197395237644468
LOO4,0.5692857142857143,0.4386394557823129,0.11000000000000001,0.655,0.3906666666666666
LOO5,0.8583333333333332,0.8913379602853286,0.6954009819967266,0.7944444444444445,0.830111111111111
LOO6,0.8759740259740261,0.8798751248751249,0.7417466788755097,0.8166666666666667,0.9143000518000518
LOO7,0.6614565826330532,0.7941535229476406,0.35610966633787666,0.8577777777777778,0.7235330225330225
LOO8,0.8333333333333334,0.8583615146463444,0.6666666666666666,0.8444444444444444,0.8635802469135803
LOO9,0.9444444444444444,0.9614035087719298,0.888888888888889,0.888888888888889,0.9925925925925926
LOO10,0.68425,0.7660603116694706,0.3416836384439359,0.7515648148148147,0.7785634891141141
LOO11,0.85,0.8677534829721363,0.7,0.7666666666666667,0.8765432098765432
LOO12,0.7277777777777779,0.7534379630031804,0.45555555555555555,0.7555555555555556,0.6975308641975309
