LOO,Accuracy,Precision,Kappa,Specificity,AUC
LOO1,0.8939393939393939,0.9099868421052631,0.7878787878787878,0.8803030303030303,0.8962751353985119
LOO2,0.6941010558069383,0.7422485326397774,0.38820211161387636,0.8176093514328808,0.8128084322370321
LOO3,0.7406914543748014,0.7600982216467228,0.4813829087496028,0.8365327509626116,0.7930611629356401
LOO4,0.8203174603174602,0.8609391534391534,0.6166013071895425,0.7494444444444445,0.8061450617283951
LOO5,0.8303571428571429,0.8514108114108113,0.6537755102040815,0.7211111111111111,0.9014305555555555
LOO6,0.8768831168831168,0.8840259740259742,0.7478461538461538,0.8833333333333332,0.868287037037037
LOO7,0.729327731092437,0.7876881207028267,0.4385479175038266,0.5133333333333334,0.8153372183372183
LOO8,0.8222222222222222,0.8443996843108433,0.6444444444444445,0.8555555555555555,0.8950617283950617
LOO9,0.9111111111111111,0.918961038961039,0.8222222222222222,0.9333333333333333,0.9592592592592591
LOO10,0.70475,0.7269234576606359,0.4083288954635108,0.7107407407407408,0.7612475572447448
LOO11,0.7333333333333333,0.7576971687316515,0.4666666666666667,0.6333333333333333,0.767283950617284
LOO12,0.8111111111111111,0.8360113649393834,0.6222222222222223,0.6888888888888889,0.8549382716049383
