LOO,Accuracy,Precision,Kappa,Specificity,AUC
LOO1,0.8661255411255411,0.8704390232193436,0.7322510822510824,0.8740259740259739,0.9209907516725698
LOO2,0.7052217194570136,0.7341663994214928,0.4104434389140271,0.8029351432880845,0.7671146473249933
LOO3,0.7592903797973527,0.7660160436398827,0.5185807595947055,0.8268955649661146,0.7899590903381728
LOO4,0.7678174603174603,0.830244708994709,0.5116013071895424,0.7494444444444445,0.8158750000000001
LOO5,0.9023809523809524,0.9158371040723982,0.7891394093362972,0.8138888888888889,0.924074074074074
LOO6,0.8478354978354978,0.8614141414141414,0.6918132916883567,0.8638888888888889,0.9002492877492877
LOO7,0.8619047619047618,0.8926095848595847,0.7208807733619764,0.8066666666666666,0.9325757575757576
LOO8,0.8722222222222221,0.8975589225589224,0.7444444444444444,0.9777777777777779,0.924074074074074
LOO9,0.9833333333333334,0.9847368421052632,0.9666666666666668,0.9777777777777779,1.0
LOO10,0.70075,0.7103309583934584,0.38419967177242886,0.5656018518518519,0.7032596412037038
LOO11,0.7777777777777778,0.8114679402722882,0.5555555555555556,0.8555555555555555,0.8148148148148149
LOO12,0.7666666666666666,0.8049273584959801,0.5333333333333334,0.6333333333333333,0.791358024691358
