LOO,Accuracy,Precision,Kappa,Specificity,AUC
LOO1,0.8996753246753247,0.923076923076923,0.7993506493506494,0.9341991341991343,0.9641753808961602
LOO2,0.668683257918552,0.6923091484560749,0.3373665158371041,0.7807194570135747,0.7292759617261454
LOO3,0.7280526868131462,0.7356036936457684,0.4561053736262924,0.7550516078014027,0.7942423318367404
LOO4,0.8528174603174603,0.8956613756613756,0.6816013071895425,0.7294444444444445,0.842875
LOO5,0.8533333333333333,0.8802756892230577,0.6787959866220735,0.7444444444444445,0.880787037037037
LOO6,0.8478354978354978,0.8614141414141414,0.6918132916883567,0.8638888888888889,0.9002492877492877
LOO7,0.767563025210084,0.80253873577403,0.5254223507220653,0.6194444444444445,0.8764452214452214
LOO8,0.8722222222222221,0.8975589225589224,0.7444444444444444,0.9777777777777779,0.924074074074074
LOO9,0.9833333333333334,0.9847368421052632,0.9666666666666668,0.9777777777777779,1.0
LOO10,0.70075,0.7103309583934584,0.38419967177242886,0.5656018518518519,0.7032596412037038
LOO11,0.7055555555555555,0.6863669950738915,0.41111111111111115,0.48888888888888893,0.691358024691358
LOO12,0.7888888888888889,0.8285588637368824,0.5777777777777778,0.7111111111111111,0.8395061728395061
