data_avg,data_max,data_min,data_std,epoch,lr-AdamW,step,train_acc,train_loss,valid_acc,valid_accuracy,valid_balanced_accuracy,valid_cohen_kappa,valid_f1,valid_loss,valid_precision,valid_recall,valid_roc_auc
,,,,,1.600000000000001e-05,0,,,,,,,,,,,
,,,,0,,81,,,0.5,0.5,0.5,0.0,0.0,0.7519612908363342,0.0,0.0,0.5445331931114197
0.09295883774757385,0.43892911076545715,-0.24909041821956635,0.272705078125,0,,81,0.49367815256118774,0.9369259476661682,,,,,,,,,
,,,,,1.836671803204736e-05,82,,,,,,,,,,,
,,,,1,,163,,,0.5,0.5,0.5,0.0,0.6666666865348816,0.7040337324142456,0.5,1.0,0.5614351630210876
0.09223632514476776,0.4381486177444458,-0.2500688433647156,0.27270805835723877,1,,163,0.5003831386566162,0.7263071537017822,,,,,,,,,
,,,,,2.5408524688155863e-05,164,,,,,,,,,,,
,,,,2,,245,,,0.5,0.5,0.5,0.0,0.6666666865348816,0.6972493529319763,0.5,1.0,0.5259606242179871
0.09191586077213287,0.4380219578742981,-0.2503971755504608,0.272705078125,2,,245,0.5078544020652771,0.7045292854309082,,,,,,,,,
,,,,,3.695181610591724e-05,246,,,,,,,,,,,
,,,,3,,327,,,0.5,0.5,0.5,0.0,0.0,0.6952880620956421,0.0,0.0,0.5234876275062561
0.09169084578752518,0.437531054019928,-0.25048714876174927,0.272705078125,3,,327,0.49501916766166687,0.7040371894836426,,,,,,,,,
,,,,,5.271201191087729e-05,328,,,,,,,,,,,
,,,,4,,409,,,0.5,0.5,0.5,0.0,0.6666666865348816,0.6942735314369202,0.5,1.0,0.5513039827346802
0.09159805625677109,0.43753328919410706,-0.25049951672554016,0.272705078125,4,,409,0.5124521255493164,0.6987495422363281,,,,,,,,,
,,,,,7.230057106553402e-05,410,,,,,,,,,,,
,,,,5,,491,,,0.5,0.5,0.5,0.0,0.0,0.6945746541023254,0.0,0.0,0.5474035739898682
0.09150750935077667,0.4373716711997986,-0.25112006068229675,0.2726961076259613,5,,491,0.4957854449748993,0.7029471397399902,,,,,,,,,
,,,,,9.52345706930838e-05,492,,,,,,,,,,,
,,,,6,,573,,,0.5,0.5,0.5,0.0,0.6666666865348816,0.6947577595710754,0.5,1.0,0.5483912229537964
0.0917251780629158,0.4374597668647766,-0.2507490813732147,0.27270209789276123,6,,573,0.49827587604522705,0.702210545539856,,,,,,,,,
,,,,,0.0001209486117261777,574,,,,,,,,,,,
,,,,7,,655,,,0.5,0.5,0.5,0.0,0.6666666865348816,0.693774402141571,0.5,1.0,0.5594097375869751
0.09094500541687012,0.4369344413280487,-0.2519356310367584,0.2726990878582001,7,,655,0.5009578466415405,0.700492799282074,,,,,,,,,
,,,,,0.00014880875786700505,656,,,,,,,,,,,
,,,,8,,737,,,0.5,0.5,0.5,0.0,0.0,0.7022650837898254,0.0,0.0,0.5865007638931274
0.09016112983226776,0.4365193247795105,-0.25317421555519104,0.2726871073246002,8,,737,0.5070881247520447,0.7035085558891296,,,,,,,,,
,,,,,0.00017812816421715994,738,,,,,,,,,,,
,,,,9,,819,,,0.5,0.5,0.5,0.0,0.6666666865348816,0.6950839757919312,0.5,1.0,0.6022723913192749
0.08968169242143631,0.4359535872936249,-0.25337812304496765,0.2723917067050934,9,,819,0.49482759833335876,0.7032252550125122,,,,,,,,,
,,,,,0.00020818401027978978,820,,,,,,,,,,,
,,,,10,,901,,,0.5,0.5,0.5,0.0,0.0,0.6959696412086487,0.0,0.0,0.5916435122489929
0.08894197642803192,0.4350883364677429,-0.2538387179374695,0.27160540223121643,10,,901,0.5007662773132324,0.7031464576721191,,,,,,,,,
,,,,,0.00023823531987942742,902,,,,,,,,,,,
,,,,11,,983,,,0.5,0.5,0.5,0.0,0.0,0.6933248043060303,0.0,0.0,0.611847996711731
0.08966415375471115,0.4356703460216522,-0.25184640288352966,0.2707323133945465,11,,983,0.5139846801757812,0.6987909078598022,,,,,,,,,
,,,,,0.0002675412286794467,984,,,,,,,,,,,
,,,,12,,1065,,,0.5805555582046509,0.5805555582046509,0.5805555582046509,0.16111111640930176,0.6138107180595398,0.6935113072395325,0.5687204003334045,0.6666666865348816,0.6072453856468201
0.09099705517292023,0.435711145401001,-0.24712643027305603,0.26906973123550415,12,,1065,0.5180076360702515,0.697562038898468,,,,,,,,,
,,,,,0.0002953792489423211,1066,,,,,,,,,,,
,,,,13,,1147,,,0.5,0.5,0.5,0.0,0.0,0.6931070685386658,0.0,0.0,0.6184953451156616
0.09287703037261963,0.4342803359031677,-0.24102048575878143,0.2652459740638733,13,,1147,0.507662832736969,0.7010772228240967,,,,,,,,,
,,,,,0.00032106308124583576,1148,,,,,,,,,,,
,,,,14,,1229,,,0.5513888597488403,0.5513888597488403,0.5513888597488403,0.10277777910232544,0.6624869108200073,0.6907443404197693,0.5309882760047913,0.8805555701255798,0.628777027130127
0.09311598539352417,0.4302375316619873,-0.2332722544670105,0.2596464455127716,14,,1229,0.5042145848274231,0.697473406791687,,,,,,,,,
,,,,,0.0003439595340374404,1230,,,,,,,,,,,
,,,,15,,1311,,,0.5208333134651184,0.5208333134651184,0.5208333134651184,0.0416666679084301,0.6673095226287842,0.6877780556678772,0.5110782980918884,0.9611111283302307,0.6369752883911133
0.09302057325839996,0.41986632347106934,-0.2229115217924118,0.24937449395656586,15,,1311,0.5356321930885315,0.6918036341667175,,,,,,,,,
,,,,,0.0003635041339036788,1312,,,,,,,,,,,
,,,,16,,1393,,,0.6000000238418579,0.6013888716697693,0.6013888716697693,0.20277777314186096,0.5437201857566833,0.6811015009880066,0.6356877088546753,0.4749999940395355,0.6501851677894592
0.0826825276017189,0.3920905888080597,-0.2208501696586609,0.2340996116399765,16,,1393,0.5588122606277466,0.6815494894981384,,,,,,,,,
,,,,,0.0003792150417098365,1394,,,,,,,,,,,
,,,,17,,1475,,,0.5597222447395325,0.5597222447395325,0.5597222447395325,0.11944444477558136,0.6781725883483887,0.6762010455131531,0.5343999862670898,0.9277777671813965,0.6604475378990173
0.0673346146941185,0.33039185404777527,-0.20201589167118073,0.19728180766105652,17,,1475,0.6080459952354431,0.6592516899108887,,,,,,,,,
,,,,,0.00039070493153086494,1476,,,,,,,,,,,
,,,,18,,1557,,,0.6277777552604675,0.6277777552604675,0.6277777552604675,0.25555557012557983,0.6546391844749451,0.6522305011749268,0.6105769276618958,0.7055555582046509,0.6692438125610352
0.05578702315688133,0.25777387619018555,-0.1503663957118988,0.14951807260513306,18,,1557,0.6408045887947083,0.6342806816101074,,,,,,,,,
,,,,,0.0003976905395185801,1558,,,,,,,,,,,
