data_avg,data_max,data_min,data_std,epoch,lr-AdamW,step,train_acc,train_loss,valid_acc,valid_accuracy,valid_balanced_accuracy,valid_cohen_kappa,valid_f1,valid_loss,valid_precision,valid_recall,valid_roc_auc
,,,,,0.0002953792489423211,1066,,,,,,,,,,,
,,,,13,,1147,,,0.5,0.5,0.5,0.0,0.0,0.6937723755836487,0.0,0.0,0.6144405603408813
0.09657805413007736,0.4380943477153778,-0.2342180460691452,0.26631009578704834,13,,1147,0.4929118752479553,0.7027907371520996,,,,,,,,,
,,,,,0.00032106308124583576,1148,,,,,,,,,,,
,,,,14,,1229,,,0.5041666626930237,0.5041666626930237,0.5041666626930237,0.008333333767950535,0.6647887229919434,0.6929246783256531,0.5021276473999023,0.9833333492279053,0.6118634343147278
0.09836065769195557,0.4379596710205078,-0.22765730321407318,0.2637687921524048,14,,1229,0.49367815256118774,0.7004387378692627,,,,,,,,,
,,,,,0.0003439595340374404,1230,,,,,,,,,,,
,,,,15,,1311,,,0.5,0.5,0.5,0.0,0.6666666865348816,0.6930318474769592,0.5,1.0,0.6111496686935425
0.10199746489524841,0.4388488531112671,-0.22240078449249268,0.2594021260738373,15,,1311,0.5093869566917419,0.6992869973182678,,,,,,,,,
,,,,,0.0003635041339036788,1312,,,,,,,,,,,
,,,,16,,1393,,,0.5027777552604675,0.5013889074325562,0.5013889074325562,0.0027777778450399637,0.005540166050195694,0.6933206915855408,1.0,0.0027777778450399637,0.6309722065925598
0.1032906100153923,0.4361722767353058,-0.22197957336902618,0.249972403049469,16,,1393,0.5132184028625488,0.6969733834266663,,,,,,,,,
,,,,,0.0003792150417098365,1394,,,,,,,,,,,
,,,,17,,1475,,,0.4972222149372101,0.4972222149372101,0.4972222149372101,-0.0055555556900799274,0.6641929745674133,0.6905714273452759,0.49860724806785583,0.9944444298744202,0.6421296000480652
0.09836407005786896,0.42680907249450684,-0.21435678005218506,0.23859554529190063,17,,1475,0.5431034564971924,0.6876102685928345,,,,,,,,,
,,,,,0.00039070493153086494,1476,,,,,,,,,,,
,,,,18,,1557,,,0.5986111164093018,0.5986111164093018,0.5986111164093018,0.19722221791744232,0.509337842464447,0.673018753528595,0.6550218462944031,0.4166666567325592,0.6597376465797424
0.08187765628099442,0.41413846611976624,-0.20049725472927094,0.22211165726184845,18,,1557,0.59425288438797,0.6691932082176208,,,,,,,,,
,,,,,0.0003976905395185801,1558,,,,,,,,,,,
,,,,19,,1639,,,0.6430555582046509,0.6430555582046509,0.6430555582046509,0.28611111640930176,0.6799501776695251,0.6555362343788147,0.6162528395652771,0.7583333253860474,0.6815354824066162
0.06518860906362534,0.4208209812641144,-0.1973108947277069,0.20946115255355835,19,,1639,0.630842924118042,0.6461198925971985,,,,,,,,,
,,,,,0.0003999999770654449,1640,,,,,,,,,,,
,,,,20,,1721,,,0.6430555582046509,0.6458333134651184,0.6458333134651184,0.2916666567325592,0.7052023410797119,0.6424030065536499,0.603960394859314,0.8472222089767456,0.7090895175933838
0.046848855912685394,0.42487597465515137,-0.20614159107208252,0.20089340209960938,20,,1721,0.659770131111145,0.618803858757019,,,,,,,,,
,,,,,0.0003998420246477159,1722,,,,,,,,,,,
,,,,21,,1803,,,0.6458333134651184,0.6458333134651184,0.6458333134651184,0.2916666567325592,0.7105562090873718,0.6357212662696838,0.6007677316665649,0.8694444298744202,0.7216975092887878
0.03322159871459007,0.4011428654193878,-0.21667517721652985,0.19475874304771423,21,,1803,0.6659004092216492,0.6033923625946045,,,,,,,,,
,,,,,0.000399375931546361,1804,,,,,,,,,,,
,,,,22,,1885,,,0.6513888835906982,0.6513888835906982,0.6513888835906982,0.3027777671813965,0.7077997922897339,0.6278642416000366,0.609218418598175,0.8444444537162781,0.7260416746139526
0.028473731130361557,0.39000988006591797,-0.21762040257453918,0.19308623671531677,22,,1885,0.6829501986503601,0.5917784571647644,,,,,,,,,
,,,,,0.0003986024164431595,1886,,,,,,,,,,,
,,,,23,,1967,,,0.6611111164093018,0.6611111164093018,0.6611111164093018,0.3222222328186035,0.7088305354118347,0.6221541166305542,0.6213389039039612,0.824999988079071,0.7274305820465088
0.02601867914199829,0.3789792060852051,-0.21771806478500366,0.19207599759101868,23,,1967,0.6860153079032898,0.5804526805877686,,,,,,,,,
,,,,,0.0003975226720423349,1968,,,,,,,,,,,
,,,,24,,2049,,,0.637499988079071,0.637499988079071,0.637499988079071,0.2750000059604645,0.7064117193222046,0.6401536464691162,0.5935727953910828,0.8722222447395325,0.7279860973358154
0.02532041072845459,0.37556761503219604,-0.21596230566501617,0.19158519804477692,24,,2049,0.6913793087005615,0.5781205892562866,,,,,,,,,
,,,,,0.0003961383632314919,2050,,,,,,,,,,,
,,,,25,,2131,,,0.6430555582046509,0.6430555582046509,0.6430555582046509,0.28611111640930176,0.7096045017242432,0.6391848921775818,0.5980952382087708,0.8722222447395325,0.7298842668533325
0.02628321200609207,0.37706199288368225,-0.21358217298984528,0.1925436109304428,25,,2131,0.6913793087005615,0.5759091377258301,,,,,,,,,
,,,,,0.0003944516245144802,2132,,,,,,,,,,,
,,,,26,,2213,,,0.6694444417953491,0.6694444417953491,0.6694444417953491,0.33888888359069824,0.7186761498451233,0.6216501593589783,0.6255143880844116,0.8444444537162781,0.7335031032562256
0.025967055931687355,0.3722010850906372,-0.21209178864955902,0.19153814017772675,26,,2213,0.6852490305900574,0.5790556073188782,,,,,,,,,
,,,,,0.00039246505672014403,2214,,,,,,,,,,,
,,,,27,,2295,,,0.6388888955116272,0.6388888955116272,0.6388888955116272,0.2777777910232544,0.7045454382896423,0.6421499252319336,0.5961538553237915,0.8611111044883728,0.72831791639328
0.024800734594464302,0.366746723651886,-0.21281588077545166,0.19070348143577576,27,,2295,0.6950191855430603,0.570931077003479,,,,,,,,,
,,,,,0.00039018172299203297,2296,,,,,,,,,,,
,,,,28,,2377,,,0.6708333492279053,0.6708333492279053,0.6708333492279053,0.34166666865348816,0.7099143266677856,0.6179572939872742,0.6345732808113098,0.8055555820465088,0.7286111116409302
0.024463089182972908,0.36398711800575256,-0.21138499677181244,0.19044801592826843,28,,2377,0.6881226301193237,0.5746970176696777,,,,,,,,,
,,,,,0.0003876051440652565,2378,,,,,,,,,,,
,,,,29,,2459,,,0.6722221970558167,0.6722221970558167,0.6722221970558167,0.3444444537162781,0.7027707695960999,0.6117914915084839,0.6428571343421936,0.7749999761581421,0.7307252883911133
0.024812614545226097,0.3636372685432434,-0.21144823729991913,0.19069243967533112,29,,2459,0.7007662653923035,0.5688121318817139,,,,,,,,,
,,,,,0.00038473929283776553,2460,,,,,,,,,,,
,,,,30,,2541,,,0.6527777910232544,0.6527777910232544,0.6527777910232544,0.3055555522441864,0.7159090638160706,0.6397448182106018,0.6057692170143127,0.875,0.7323302626609802
0.02510819211602211,0.3614579737186432,-0.21087810397148132,0.19063276052474976,30,,2541,0.6931034326553345,0.5687034726142883,,,,,,,,,
