LOO,Accuracy,Precision,Kappa,Specificity,AUC
LOO1,0.84491341991342,0.8517167473049826,0.6898268398268399,0.8917748917748918,0.8538075560802832
LOO2,0.6808250377073907,0.6905058107961334,0.3616500754147813,0.7373815987933635,0.7635916752432497
LOO3,0.7125042975707454,0.71619942731093,0.425008595141491,0.7415952080053803,0.733104492116361
LOO4,0.8510714285714286,0.8701875901875902,0.6894444444444444,0.8416666666666666,0.8485833333333334
LOO5,0.8538095238095238,0.8842424242424242,0.6745652173913044,0.7022222222222222,0.804712962962963
LOO6,0.7641991341991341,0.7813944388944388,0.5226847008374487,0.7594444444444445,0.7562606837606837
LOO7,0.7370868347338935,0.8033523665876607,0.4713233361100809,0.6094444444444445,0.8224662004662004
LOO8,0.8055555555555556,0.8425390509873267,0.611111111111111,0.8777777777777779,0.828395061728395
LOO9,0.8333333333333333,0.8485739658014666,0.6666666666666666,0.9111111111111111,0.9382716049382716
LOO10,0.622625,0.6640375036840555,0.24283424182358768,0.44286111111111115,0.6231302321071072
LOO11,0.7333333333333333,0.6966686602870814,0.4666666666666667,0.5333333333333334,0.6777777777777778
LOO12,0.8,0.8512423525167154,0.6,0.6333333333333333,0.874074074074074
