LOO,Accuracy,Precision,Kappa,Specificity,AUC
LOO1,0.8830086580086579,0.8958314234784822,0.766017316017316,0.9461038961038961,0.9239781863158486
LOO2,0.6686417797888387,0.7097005487660135,0.3372835595776772,0.6930060331825038,0.7483015332063908
LOO3,0.7004745138904286,0.7241183863706098,0.4009490277808571,0.8240495754162694,0.7491361536174601
LOO4,0.7867063492063492,0.8246512746512746,0.5493790849673202,0.6372222222222221,0.8784166666666667
LOO5,0.8498809523809523,0.8783694083694084,0.6706935817805382,0.7161111111111111,0.8758101851851852
LOO6,0.8673593073593073,0.8958367123073007,0.7282917951194146,0.888888888888889,0.8582977207977208
LOO7,0.7317927170868348,0.7770550527903468,0.46563017410727847,0.6966666666666665,0.7995205905205905
LOO8,0.7777777777777778,0.8139228874573702,0.5555555555555556,0.8111111111111111,0.8086419753086421
LOO9,0.961111111111111,0.9619195046439628,0.9222222222222223,0.9555555555555555,0.9851851851851852
LOO10,0.665875,0.7418533577005987,0.3070059726962457,0.43072222222222223,0.6672269704079079
LOO11,0.6833333333333333,0.7014156963725929,0.3666666666666667,0.5777777777777777,0.7234567901234568
LOO12,0.8111111111111112,0.8406421356421354,0.6222222222222221,0.6777777777777778,0.8475308641975307
